등록일,판매처,채널,거미,가격,재고,URL
2026-06-29,거미랑,자사몰,아포노펠마 콜렛,125000,재고,https://theraphosidae.co.kr/product/아포노펠마-spec-초콜렛-유체/2038/category/24/display/1/
2026-06-29,거미랑,자사몰,하티하티 어스타이거,7000,재고,https://theraphosidae.co.kr/product/하티하티-타이거-유체/2036/category/24/display/1/
2026-07-04,거미랑,네이버,민다나오 타이거 하리본,13000,재고,https://smartstore.naver.com/terrafactory/products/13652140347
2026-07-05,타란툴라코리아,자사몰,골든 블루렉 바분,20000,재고,https://tarantulakorea.com/product/골든블루렉바분-스파이더링/158/category/66/display/1/
2026-07-05,타란툴라코리아,자사몰,니겔멈 어스타이거,12000,재고,https://tarantulakorea.com/product/니겔멈-타이거-유체/110/category/67/display/1/
2026-07-05,타란툴라코리아,자사몰,다니엘스쿠일,35000,재고,https://tarantulakorea.com/product/다니엘스쿠일-스파이더링/751/category/66/display/2/
2026-07-05,타란툴라코리아,자사몰,아크카야 타이거,18000,재고,https://tarantulakorea.com/product/아크카야-타이거-스파이더링/301/category/67/display/1/
2026-07-06,타란툴라코리아,자사몰,아르헨티나 자이언트 블랙럼프 발코즈나,40000,재고,https://tarantulakorea.com/product/아르헨티나-자이언트-블랙럼프-발코즈나-유체/752/category/24/display/2/
2026-07-06,타란툴라코리아,자사몰,에슐러스 마니카타 골드,75000,재고,https://tarantulakorea.com/product/에슐러스-마니카타-골드-유체/753/category/24/display/2/
2026-07-07,타란센터,네이버,그레이스모크,35000,재고,https://smartstore.naver.com/tarancenter/products/13655495327
2026-07-07,타란센터,네이버,빈투언 어스타이거,25000,재고,https://smartstore.naver.com/tarancenter/products/13655497411
2026-07-07,타란센터,네이버,시리즈,15000,재고,https://smartstore.naver.com/tarancenter/products/13655512084
2026-07-07,타란센터,네이버,우타이타니 어스타이거,15000,재고,https://smartstore.naver.com/tarancenter/products/13655516182
2026-07-07,타란센터,네이버,퍼플제브라,15000,재고,https://smartstore.naver.com/tarancenter/products/13655488905
2026-07-07,타란센터,네이버,하티하티 어스타이거,7000,재고,https://smartstore.naver.com/tarancenter/products/13655519317
2026-07-07,타란센터,네이버,호치민 어스 타이거 DCF,40000,재고,https://smartstore.naver.com/tarancenter/products/13655537528
2026-07-09,타란센터,네이버,라농 블루,50000,재고,https://smartstore.naver.com/tarancenter/products/13656712932
2026-07-09,타란센터,자사몰,오렌지 프린지드 폰티아낙,85000,재고,https://tarancenter.com/product/오렌지프린지드-칼리만탄-바랏-암컷-준성체-melopoeus-doriae-kalimantan-barat/1615/category/51/display/1/
2026-07-09,타란센터,네이버,오렌지프린지드 칼리만탄바랏 타란튤라,85000,재고,https://smartstore.naver.com/tarancenter/products/13656705739
2026-07-09,타란센터,네이버,팜포베테우스 cf.페테르시,70000,재고,https://smartstore.naver.com/tarancenter/products/13036769003
2026-07-09,타란센터,자사몰,푸카이파 핑크토,25000,재고,https://tarancenter.com/product/푸카이파-핑크토-유체-avicularia-sp-pucallpa/1616/category/51/display/1/
2026-07-09,타란센터,네이버,푸카이파 핑크토,25000,재고,https://smartstore.naver.com/tarancenter/products/13656710087
2026-07-09,타란툴라코리아,네이버,아르헨티나 자이언트 블랙럼프,40000,재고,https://smartstore.naver.com/tarantulakorea/products/13656455023
2026-07-09,타란툴라코리아,네이버,에슐러스 마니카타 골드,75000,재고,https://smartstore.naver.com/tarantulakorea/products/13656457625
2026-07-09,타란툴라코리아,네이버,하르팍티나 다니엘스쿠일,35000,재고,https://smartstore.naver.com/tarantulakorea/products/13656452750
2026-07-10,타란툴라코리아,자사몰,레드슬레이트 오너멘탈,35000,재고,https://tarantulakorea.com/product/레드슬레이트-오너멘탈-유체/324/category/67/display/1/
2026-07-10,타란툴라코리아,자사몰,리오우르밤바,70000,재고,https://tarantulakorea.com/product/볼리비안-스틸리블루-리오우르밤바-유체/380/category/24/display/1/
2026-07-10,타란툴라코리아,자사몰,마호가니 트리 스파이더,25000,재고,https://tarantulakorea.com/product/마호가니-트리-스파이더-유체/654/category/67/display/2/
2026-07-10,타란툴라코리아,자사몰,볼리비안 스틸리블루,55000,재고,https://tarantulakorea.com/product/팜포베테우스-볼리비안-스틸리블루-이퀴토스-스파이더링-직거래-분양만-가능/503/category/24/display/1/
2026-07-15,타란센터,네이버,세리코펠마 spec. 다리엔,25000,재고,https://smartstore.naver.com/tarancenter/products/13665405244
