거미,판매처,채널,최초관측일,최초가,현재가,변동횟수,가격추이,최근변동일,재고,URL
골든 밴디드 스타버스트,거미랑,자사몰,2026-06-02,45000,45000,0,,,품절,https://theraphosidae.co.kr/product/골든-밴디드-스타버스트-ex-ami-sp-panama/1101/category/24/display/1/
골든 밴디드 스타버스트 학명 Ami sp. Panama 습성 배회성 수명 약 10년+,타란툴라코리아,네이버,2026-06-02,35000,35000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10567901323
골든 어스타이거 다크폼,거미랑,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/terrafactory/products/12936772478
골든 어스타이거 선라,거미랑,자사몰,2026-06-02,20000,20000,0,,,재고,https://theraphosidae.co.kr/product/골든-어스타이거-선라-유체/1986/category/24/display/1/
골든그레이 버드이터,거미랑,네이버,2026-06-02,15000,15000,0,,,재고,https://smartstore.naver.com/terrafactory/products/5230237021
골든그레이 버드이터,거미랑,자사몰,2026-06-02,65000,65000,0,,,품절,https://theraphosidae.co.kr/product/골든그레이-버드이터-8cm-한쌍/1794/category/24/display/1/
골든그레이 버드이터,거미랑,자사몰,2026-06-02,15000,15000,0,,,품절,https://theraphosidae.co.kr/product/골든그레이-버드이터-유체/1121/category/24/display/1/
골든그레이 버드이터,타란센터,네이버,2026-06-02,15000,15000,0,,,품절,https://smartstore.naver.com/tarancenter/products/10775047299
골든그레이 버드이터,타란센터,자사몰,2026-06-02,50000,50000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-5cm-암컷-아성체-phormictopus-auratus/1180/category/51/display/1/
골든그레이 버드이터,타란센터,자사몰,2026-06-02,15000,15000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-유체-phormictopus-auratus/1090/category/51/display/1/
골든그레이 버드이터,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-유체-phormictopus-auratus/732/category/51/display/1/
골든그레이 버드이터,타란툴라코리아,자사몰,2026-06-02,15000,15000,0,,,재고,https://tarantulakorea.com/product/골든그레이-유체/195/category/24/display/1/
골든블루렉바분,거미랑,네이버,2026-06-02,15000,15000,0,,,품절,https://smartstore.naver.com/terrafactory/products/5230363526
골든블루렉바분,거미랑,자사몰,2026-06-02,25000,25000,0,,,품절,https://theraphosidae.co.kr/product/골든블루렉-바분-유체/1622/category/24/display/1/
골든블루렉바분,거미랑,자사몰,2026-06-02,38000,38000,0,,,품절,https://theraphosidae.co.kr/product/골든블루렉-바분-유체대/1623/category/24/display/1/
골든블루렉바분,더쥬 송파점,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tzblossom/products/8764178511
골든블루렉바분,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/골든-블루렉-바분-유체-harpactira-pulchripes/1304/category/51/display/1/
골든블루렉바분,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/골든-블루렉-바분-유체-harpactira-pulchripes/792/category/51/display/1/
골든블루렉바분,타란센터,자사몰,2026-06-02,15000,15000,0,,,품절,https://tarancenter.com/product/골든-블루렉-바분-유체-harpactira-pulchripes/974/category/51/display/1/
골든블루렉바분,타란센터,자사몰,2026-06-02,60000,60000,0,,,품절,https://tarancenter.com/product/골든블루렉바분-5cm-아성체-암컷-harpactira-pulchripes/1473/category/51/display/1/
골든블루렉바분,타란툴라코리아,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10622124815
골든블루렉바분 버로우 배회성 타란튤라 애완거미,타란센터,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tarancenter/products/12070395942
골든어스타이거,거미랑,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/terrafactory/products/5852955793
골든어스타이거,거미랑,자사몰,2026-06-02,120000,120000,0,,,품절,https://theraphosidae.co.kr/product/골든-어스타이거-광시-준성체암/226/category/24/display/1/
골든어스타이거,거미랑,자사몰,2026-06-02,220000,220000,0,,,품절,https://theraphosidae.co.kr/product/골든-어스타이거-케방-15cm-한쌍/623/category/24/display/1/
골든어스타이거,거미랑,자사몰,2026-06-02,105000,105000,0,,,품절,https://theraphosidae.co.kr/product/골든-어스타이거-케방-준성체한쌍암컷-1215cm-수컷-10cm/803/category/24/display/1/
골든어스타이거,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/9996205491
골든어스타이거,타란센터,자사몰,2026-06-02,40000,40000,0,,,품절,https://tarancenter.com/product/골든-어스-타이거-반출빈투언-유체-대-cyriopagopus-cf-schmidti-binh-thuan/626/category/51/display/1/
골든어스타이거 다크폼,타란툴라코리아,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/12986432443
골든어스타이거 다크폼,타란툴라코리아,자사몰,2026-06-02,20000,20000,0,,,재고,https://tarantulakorea.com/product/골든어스타이거-다크폼-유체/735/category/66/display/1/
골든어스타이거 다크폼,타란툴라코리아,자사몰,2026-06-02,20000,20000,0,,,재고,https://tarantulakorea.com/product/골든어스타이거-다크폼-유체/735/category/66/display/2/
골든어스타이거 케방산지,타란툴라코리아,자사몰,2026-06-02,20000,20000,0,,,재고,https://tarantulakorea.com/product/골든어스타이거-케방산지-유체/341/category/66/display/1/
골든제브라뷰티,거미랑,자사몰,2026-06-02,35000,35000,0,,,재고,https://theraphosidae.co.kr/product/골든제브라-뷰티-유체/1882/category/24/display/1/
